state,total,deaths_pvax,deaths_fvax
Johor,3440,806,365
Kedah,1906,398,169
Kelantan,907,146,96
Melaka,871,220,74
Negeri Sembilan,1206,245,55
Pahang,616,102,53
Perak,969,190,163
Perlis,90,16,14
Pulau Pinang,1487,291,250
Sabah,2350,318,200
Sarawak,999,99,282
Selangor,9481,2417,548
Terengganu,408,81,41
W.P. Kuala Lumpur,2521,615,205
W.P. Labuan,149,12,1
W.P. Putrajaya,22,6,0
