state,cases_new
Johor,5734
Kedah,3024
Kelantan,758
Melaka,1225
Negeri Sembilan,7828
Pahang,1365
Perak,3195
Perlis,46
Pulau Pinang,3488
Sabah,37040
Sarawak,1117
Selangor,32395
Terengganu,325
W.P. Kuala Lumpur,13487
W.P. Labuan,1701
W.P. Putrajaya,282
