,state,deaths_new,deaths_bid,deaths_pvax,deaths_fvax,total
0,Johor,34,1,0,0,5734
1,Kedah,12,0,0,0,3024
2,Kelantan,8,0,0,0,758
3,Melaka,7,0,0,0,1225
4,Negeri Sembilan,13,2,0,0,7828
5,Pahang,7,1,0,0,1365
6,Perak,16,1,0,0,3195
7,Perlis,2,0,0,0,46
8,Pulau Pinang,9,1,0,0,3488
9,Sabah,265,122,0,0,37040
10,Sarawak,19,1,0,0,1117
11,Selangor,45,1,0,0,32395
12,Terengganu,1,0,0,0,325
13,W.P. Kuala Lumpur,22,1,0,0,13487
14,W.P. Labuan,8,4,0,0,1701
15,W.P. Putrajaya,3,1,0,0,282
